complaint_id,raw_text,issue_category,jurisdiction_level,assigned_department,officer_title,priority_level,actual_resolution_hours
BAGA-0104,There is no water supply in Ward 4 since 24 hours,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,41.9
BAGA-0105,"Bridge near Wadgaon damaged, vehicles cannot pass",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,528.8
BAGA-0106,Electric pole fallen on road near hospital in Nehru Colony,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.5
BAGA-0107,"Power cut in Gandhi Nagar for 2 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.1
BAGA-0108,"Footpath broken in Laxmi Nagar, elderly people falling",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,301.3
BAGA-0109,Voltage fluctuation damaging appliances in Laxmi Nagar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.1
BAGA-0110,"Village Rajgurunagar needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,74.8
BAGA-0111,"Power cut in Aundh for 5 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.3
BAGA-0112,Overhead tank not filling in our colony Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,46.6
BAGA-0113,Handpump in village Devgad not working for 5 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,103.0
BAGA-0114,Voltage fluctuation damaging appliances in Sadar Bazar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.1
BAGA-0115,"Bridge near Wadgaon damaged, vehicles cannot pass",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,453.7
BAGA-0116,"Dustbins removed from Civil Lines Road, kachra everywhere",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,64.6
BAGA-0117,Electric pole fallen on road near government office in Kothrud,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.6
BAGA-0118,"Power cut in Gandhi Nagar for 3 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.5
BAGA-0119,Toilet construction incomplete in Rajgurunagar under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,109.9
BAGA-0120,"School building in Junnar is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,540.7
BAGA-0121,Electric pole fallen on road near market in Hadapsar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.5
BAGA-0122,Garbage not collected for 10 days in Ward 19,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,50.1
BAGA-0123,"Huge pothole on Station Road near market, very dangerous",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,271.9
BAGA-0124,Overhead tank not filling in our colony Koregaon Park,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,30.9
BAGA-0125,Road damaged after monsoon near park,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,178.2
BAGA-0126,"No water in gram panchayat Bhimashankar, bore well dried up",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,90.4
BAGA-0127,Water pipe burst on Tilak Road near bus stand,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,30.6
BAGA-0128,Handpump in village Devgad not working for 10 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,78.0
BAGA-0129,Streetlight not working on Civil Lines Road for 3 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.1
BAGA-0130,"Water pressure is very low in Aundh, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,28.4
BAGA-0131,Dirty contaminated water coming from tap in Shivaji Nagar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,50.3
BAGA-0132,"School building in Devgad is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,705.9
BAGA-0133,Streetlight not working on Tilak Road for 15 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.0
BAGA-0134,"Drain overflowing on Mall Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,53.3
BAGA-0135,Electric pole fallen on road near hospital in Gandhi Nagar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.1
BAGA-0136,Overhead tank not filling in our colony MG Road area,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,26.0
BAGA-0137,Water pipe burst on NH-48 near railway station,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,31.4
BAGA-0138,"Water pressure is very low in Sadar Bazar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,46.0
BAGA-0139,"Water pressure is very low in Shivaji Nagar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,37.9
BAGA-0140,"Power cut in Gandhi Nagar for 6 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,4.8
BAGA-0141,Village road from Mahuli to taluka in terrible condition,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,574.0
BAGA-0142,"No water in gram panchayat Junnar, bore well dried up",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,113.7
BAGA-0143,"Divider damaged on FC Road, accidents happening",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,228.9
BAGA-0144,Electric pole fallen on road near park in Sadar Bazar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,5.4
BAGA-0145,Dirty contaminated water coming from tap in Sadar Bazar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,34.6
BAGA-0146,Dirty contaminated water coming from tap in Sadar Bazar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,47.2
BAGA-0147,"Water contamination in Rajgurunagar, children falling sick",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,60.7
BAGA-0148,Road damaged after monsoon near temple,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,259.0
BAGA-0149,No speed breakers near school on Old Mumbai Highway,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,338.1
BAGA-0150,Dirty contaminated water coming from tap in Sadar Bazar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,43.9
BAGA-0151,"Divider damaged on NH-48, accidents happening",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,266.8
BAGA-0152,"Transformer burst in Baner, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,12.7
BAGA-0153,Anganwadi building in Bhimashankar needs repair,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,521.8
BAGA-0154,"No water in gram panchayat Mahuli, bore well dried up",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,85.1
BAGA-0155,Streetlight not working on Station Road for 10 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,4.2
BAGA-0156,Community hall roof collapsed in gram panchayat Kolegaon,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,655.2
BAGA-0157,"Divider damaged on FC Road, accidents happening",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,297.0
BAGA-0158,Road damaged after monsoon near railway station,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,267.4
BAGA-0159,Electric pole fallen on road near school in Hadapsar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.0
BAGA-0160,Open dumping of waste near college in Sadar Bazar,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,50.5
BAGA-0161,"Power cut in Nehru Colony for 8 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.8
BAGA-0162,Community hall roof collapsed in gram panchayat Bhimashankar,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,508.0
BAGA-0163,Anganwadi building in Kolegaon needs repair,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,572.6
BAGA-0164,"Transformer burst in Sadar Bazar, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.2
BAGA-0165,"Dustbins removed from Station Road, kachra everywhere",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,54.6
BAGA-0166,Streetlight not working on FC Road for 10 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.6
BAGA-0167,Streetlight not working on Station Road for 3 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,4.4
BAGA-0168,Voltage fluctuation damaging appliances in MG Road area,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,5.6
BAGA-0169,"Sewer line blocked in Shivaji Nagar, sewage on road",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,66.6
BAGA-0170,Voltage fluctuation damaging appliances in Hadapsar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.1
BAGA-0171,Overhead tank not filling in our colony Kothrud,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,36.1
BAGA-0172,"Power cut in Nehru Colony for 4 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.9
BAGA-0173,"Drain overflowing on FC Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,45.1
BAGA-0174,Overhead tank not filling in our colony Shivaji Nagar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,41.1
